review,recommendationid,playtime_forever,timestamp_created,votes_up,votes_funny,steam_purchase,received_for_free
나랑 스컬할래?,185507464,8659,1736771196,0,0,True,False
시원시원하게 몬스터 잡는게 재밌어요,185486514,1373,1736736598,0,0,True,False
진짜 시간가는줄 모른다.,185455342,4121,1736703503,0,0,True,False
아주 좋음,185454828,3169,1736703053,0,0,True,False
dog꿀잼 ㄹㅇㅋㅋ,185435152,2043,1736686296,0,0,True,False
진짜 게임성이 뛰어난 작품이네요. 무조건 강추드립니다,185430323,2070,1736681423,0,0,True,False
d,185420059,5963,1736669906,0,0,True,False
zz,185411396,35070,1736658759,0,0,True,False
"1. 운빨좆망겜.
2. 조합 맞추기가 일기예보 같음. 
3. 특정 스컬에 유리한 아이템은 드랍 확률이 낮나? 라는 생각이 매 판마다 듦.(ex. 검 스컬을 하면 출혈 각인 템이 잘 안나오고, 창 스컬을 하면 대시 각인 템이 잘 안나오는 식)
4. 위의 경험이 굉장히 불쾌함.
5. 스컬 간 밸런스, 아이템 간 밸런스가 솔직히 개판이지 않나 싶을 정도. 던파같음.
6. 하드모드로 넘어가면 매 판이 빡센데 프롬식의 도전 의식을 일깨운다기보단 '이번 판은 재수가 없었다' 식에 합리화를 하게 됨.
7. 실력도 당연히 중요하지만 그보다 운이 더 중요함.
8. 운빨좆망겜.
9. 그래도 재미는 있음.",185376126,21209,1736623632,0,0,True,False
그냥 엄청 재미있음,185352660,1358,1736605274,0,0,True,False
"가끔 억까당하면 개빡치긴함 
근데 잘만들었음 좋음 재밌음 이똥참",185337693,7739,1736591712,0,0,True,False
Skul: The Here Slayer이거 2편 나오나?,185333189,2118,1736586669,0,0,True,False
워붕이로 10단계 클리어.,185313177,6034,1736565080,0,0,True,False
"god game
",185308953,745,1736560330,0,0,True,False
ㅈ 병신 같은 초대 용사 새끼 ㅈ같아서 게임 접어요 씨발것,185272173,2994,1736527886,0,0,True,False
재밌는 로그라이크 겜,185248185,1332,1736505369,0,0,True,False
와! 스컬!!!!,185221951,3618,1736472664,0,0,True,False
쓰껄쓰껄,185201108,1069,1736448838,0,0,True,False
goat,185184704,2855,1736432533,0,0,True,False
:),185173274,4262,1736418958,0,0,True,False
시간이 없어졌어요 !,185164366,9038,1736404785,0,0,True,False
"아니 ㅆㅂ 거울 8단계부터 그냥 ㅈ같은 몹수가 개많아짐
몹이 피통은 많아지고 딜은 감당이안되게 올라가는데 패턴은 뭐없어진 패턴이 개많아짐
그러면 피통을 깔 수 있는 템이 늘어났냐? 놉
딜 버틸 수 있게 힐 수단이나 템이 늘어났나? 놉
그냥 게임이 개씹 노잼겜으로 바뀌어버림 
7단계까지는 기존 템으로도 후반까지 가고 막보에서 살짝 처지는 느낌이면
8단계부터는 그냥 중간 스테이지부터 내 딜은 개약한데 몹들 딜 감당이 안되니까
겜임에대한 불합리함이 너무 심해짐.",185153921,3564,1736390197,0,0,True,False
심심한데 같이 할 친구 없으면 개추,185096294,5431,1736333849,0,0,True,False
재미있습니다.,185094297,1837,1736331519,0,0,True,False
마녀언니 그만보고싶어.................,185092215,879,1736329476,0,0,True,False
"갓겜
",185084941,1694,1736321337,0,0,True,False
멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요 멀티 만들어주세요,185073453,6602,1736307391,0,0,True,False
"난이도는 어렵지만 재미있는편 하지만 오히려 검은거울 초대용사보다 각인생성기 마석상점과 수은심장의 요소로인해 일반모드가 초대용사 노피격이 더어렵다 그리고 너무나도 쓰지않는각인들 EX:난투,비상등 그와반대로 너무나도사기이기에 왠만하면 쓰는각인들 EX:보물,뼈각인등 너무나도안좋은 레전더리들그림리퍼의 경우 왕귀형 스컬이지만 레전더리라는 초반에 얻기에는 너무나도 희귀한등급 그러나 여러가지 재미있는요소들과 좋은 퀄리티 좋은 스토리등으로 나는 좋게생각함 검은거울보다어려운 일반 모드 초대용사 도잔과제와 왕귀형스컬이지만 레전더리스컬인 그림리퍼 이두가지만 고쳐준다면 완벽함.",185072880,28731,1736306755,0,0,True,False
죽은 아들이 직상 상사를 납치한 아빠 죽이러 가는 게임,185070204,13196,1736303892,0,1,True,False
"로그라이크 입문작
다른 로그라이크를 찾아보게 하고
많은 게임을 플레이했지만 따라올수 없는 갓겜
보스에서 좌절하더라도
스컬마다 어떤능력일지 플레이해보는 재미도 있어
리트가 유쾌한편
검은거울의 적과 보스들은 난이도가 상당하다
창/구울/그림리퍼 정도면 그래도 쉽게 10단계까지 클리어 가능
★★★★★
",185008720,4767,1736246043,0,0,True,False
재밌습니다.,184930899,374,1736172346,0,0,True,False
아 존나 재미있다,184903124,894,1736143965,0,0,True,False
해응 마녀 눈나,184901950,11892,1736142286,0,0,True,False
컨셉 잘 잡은 나쁘지 않은 게임,184889287,1939,1736127105,0,0,True,False
정말 재밌는데 제 기준 어려워서 115시간 박고도 즐거웠습니다 할인하면 무조건 사도 될 정도,184862556,7263,1736104394,0,0,True,False
스컬,184826559,2478,1736076073,0,0,True,False
,184749744,7209,1736005849,0,0,True,False
그저 고트,184740639,10511,1735999595,0,0,True,False
모바일게임같은 pc겜 라이트하게 즐길 수 있어서 개추 벅벅,184632644,2800,1735907284,0,0,True,False
시간 떄우기 좋음 진짜,184531981,1444,1735826503,0,0,True,False
와 샌즈,184506916,1712,1735800756,0,0,True,False
굳,184504011,2995,1735797434,0,0,True,False
"good
",184499595,1420,1735793006,0,0,True,False
스토리는 일단 다 스킵했고 게임이 너무 재미있음,184498058,4586,1735791684,0,0,True,False
업데이트좀 해주면 좋겠다.게임은 재밌음,184495763,13729,1735789833,0,0,True,False
진짜로 국산 게임이라는게 믿기지 않을 정도로 야무진 게임임. 로그라이크 게임 좋아하면 한번쯤은 꼭 해봐야할 혁명적인 게임임,184463238,3095,1735763080,0,0,True,False
"껐다 켜면 해당 스테이지 초기화되니 수틀리면 껐켰으로 다시 뚫으면 됩니다.

씹게이 아니냐고요? 아닙니다.

검은 거울에서 제작진 망할 인간들이 지들이 고민하기 귀찮다고 도전하는 재미가 있는 어려움을 넣는 게 아니라 불합리한 요소들과 운빨좆망겜 만드는 걸로 난이도를 높였습니다.

솔직히 보스방보다 스테이지가 더 어려운 게 말이 됩니까? 스테이지 넘어갈 때마다 한숨만 나오는데 보스방 들어갈 땐 그래도 숨 좀 돌리겠네 하는 생각부터 들어요.

먼저 선 넘은 건 제작진이니 유저들이 스컬 말고 카타나 제로 한다 해도 뭐라 할 자격 없습니다. 검은 거울 10단계 뚫었고 200시간쯤 했으니 여기서 끝낼랍니다. 거지같은 억까들에 고통받는 것도 이젠 지칩니다.",184447721,15937,1735752109,0,0,True,False
"이 게임 잠깐 찍먹해봤는데 너무너무 중독성이 있어서 시간가는줄 몰랐습니다






님들도해보삼 어려움",184420871,29320,1735731416,0,0,True,False
재밌음. 검은거울은 너무 어렵다;;,184410876,9230,1735722315,1,0,True,False
재미있는 로그라이크 게임류 중에 하나인데 반복이 좀 심함. 몇몇 대가리간의 벨런스가 안맞긴한데 그래도 꽤 재밌음.dlc는 사지마라,184401015,904,1735711817,0,0,True,False
굿,184342249,1929,1735661695,0,0,True,False
"진짜 너무 재밌음
강력추천함",184341077,13499,1735660857,1,0,True,False
재밌다,184331874,2736,1735654767,0,0,True,False
ez까까,184287389,4837,1735618458,0,0,True,False
재밌음,184230928,7560,1735574491,1,0,True,False
"올 업적하는데 300시간 걸렸다...
뒤늦게 뒤적거리다보니 루키모드 발견했다.......

하 난 뭐한거지",184227101,16714,1735571812,1,1,True,False
"굿
",184198819,2753,1735546277,0,0,True,False
재미는 있는데 지금 ㅈㄴ빡친다,184195999,4006,1735542963,0,0,True,False
"개꿀잼
",184194688,11415,1735541444,0,0,True,False
fdsa,184193836,4302,1735540509,0,0,True,False
",,,,,",184111472,16173,1735488436,0,0,True,False
"회피를 해야하는데, 왜 내가 점프를 했지?",184095344,856,1735477474,0,0,True,False
"죽고 머리바꾸고 죽고 아이템 바꾸고 죽고 죽고 죽고 죽고 죽고 죽고 하다보니 하루가 지나감
",184082430,4153,1735466253,0,0,True,False
처음 할 때는 어려운데 컨트롤 익숙해지고 재밌음,184057358,1477,1735442147,0,0,True,False
어려운데 재밌다,184049333,4787,1735435190,0,0,True,False
아주 재미있어요,183995272,2200,1735397934,0,0,True,False
"마법사가 꼴리고, 마녀가 맛있어요 ㅎ",183982631,1632,1735389111,0,0,True,False
재밌음,183939445,3410,1735351009,0,0,True,False
개인적으로 로그라이크 게임 좋아하면 진짜 추천,183878365,4730,1735307962,0,0,True,False
굳 최고의 게임,183873602,17028,1735304026,0,0,True,False
초반엔 어려웠는데 대가리 박으면서 하다가 감잡으면 진짜 개재밌음 시간순삭임 ㅋㅋㅋㅋㅋㅋ,183846357,2557,1735277441,0,0,True,False
할 만 합니다. 예,183777807,3409,1735236099,0,0,True,False
존나 어렵네 씨발,183736473,1218,1735207914,0,0,True,False
최고의 게임,183727952,39386,1735198534,0,0,True,False
게임은 재밌는데...너무 어려워요...ㅠ,183662943,7053,1735141832,0,0,True,False
재밋음,183650891,888,1735133192,0,0,True,False
"여러 빌드로 조합해 나가는 맛이 있어서 좋아요
하드모드 극후반부는 체력이 너무 높아 루즈해지는 감이 있지만
하드모드 7단계까진 재밌게 했네요",183648604,10357,1735131265,0,0,True,False
a존잼,183631569,5901,1735114642,0,0,True,False
재밌음,183622479,1249,1735103224,0,0,True,False
가끔식 심심할 때 하면 쏠쏠함 거울 7단계까지 깨봤는데 보스 패턴은 변화가 없나보다.,183590865,1259,1735067555,1,0,True,False
처음에는 난이도가 조금 어려울 수 있지만 적응하고 나면 너무너무 재미있습니다!,183568305,1891,1735048955,0,0,True,False
"초보자모드로 바꿔도 어렵다
너무 많은 아이템과 조합이 공부하게 만듦
쉬려고 게임하는데 공부하게 해주는 멋진 게임임
적당히 다양해야지 뭔",183560550,1863,1735042039,0,0,True,False
굿,183545857,7469,1735024927,0,0,True,False
야 이거 꼭 해라,183461459,6331,1734945182,0,0,True,False
"어우 재밌습니다. 아직 시작한지 얼마 되지 않아 루키 모드를 키고 하지만 키고 하니 너무 재밌네요. 생각보다 많이 어려워 놀랐지만, 그래도 아주 재미있게 하고 있습니다. 하다보면 이 매력에 빠지실 겁니다.",183459058,600,1734941897,0,0,True,False
"별의 x비 처럼 다양한 직업군으로 변신할수있고 진화까지 가능하기에 캐릭터 육성하는 재미가있습니다. 로그라이크 특성인 운(실력)이 좋다면 초고점 플레이를 할수있습니다. 첫클리어 이후는 빌드에 대한 이해가 좀 필요하기에 어느정도는 찾아봐야하고, 난이도가 올라갈수록 흉악해집니다.캐릭터마다 개성이 있기에 자꾸 하게 되어서 로그라이크 장르 좋아하면 추천합니다.",183406614,3910,1734890919,0,0,True,False
처음부터 끝까지 전부 마음에 들고 시간가는줄 모르고싶을때 하기좋은게임!,183388993,3113,1734879336,0,0,True,False
내가 추구하는 게임가치관에 가장 완벽한 게임,183378151,1375,1734871454,0,0,True,False
진짜 재밌고 유일한 단점은 조금 짧은건데 그래도 돈값할정도로 재밌었당^^,183377179,1921,1734870669,0,0,True,False
"이 게임. 엔딩도 못 보고 실력도 그저그런 초보지만 그래도 이 게임은 단 한 마디로 표현 할 수 있다.
갓-겜",183356767,2872,1734851303,0,0,True,False
"갓겜
로그라이크를 좋아하는 입장에서는 이만한 갓겜이 없다.
랜덤요소에 적절한 컨트롤 요구까지 완벽
타격감도 좋고 그래픽도 최고
이게 국산겜이란 것이 놀랍다.",183352930,7292,1734847153,0,0,True,False
"존잼
",183260637,3331,1734765749,0,0,True,False
"명작 오브 명작

멀티 주세요 제발 열심히 하겠습니다",183204046,1670,1734710021,0,0,True,False
샌즈가 머가리를 바꿔가면서 줘패는데 ㅈㄴ재밌어요,183202326,1385,1734708693,0,0,True,False
개 재밌다ㅏㅏㅏ,183177746,4889,1734684980,0,0,True,False
d,183154195,1487,1734654800,0,0,True,False
"피격당하지 않고 초대용사 도전과제가 제일 어려웠습니다
",183134784,9113,1734635531,0,0,True,False
난 별로 안했다라고 생각했을 때는 이미 늦었다. 컨트롤 난이도가 있어 오랫동안 플레이하기 좋지만 컨텐츠가 적다는 것은 부정할 수 없습니다. 그것 외엔 다 재밌습니다. 빌드 짜는것도 재밌어요.,183111633,20708,1734614297,0,0,True,False
"재밌다조금어렵다.
",183096521,1787,1734593868,0,0,True,False
빨리 깨고싶따,183038236,1382,1734526185,0,0,True,False
미친 중독성 해골바가지 게임 스팀게임 이래 오래한거 처음.,183029021,7880,1734513025,0,0,True,False
뭐,183028288,2463,1734511912,0,0,True,False
재밌음,183021355,608,1734501105,0,0,True,False
rnt!,182963465,1667,1734447954,0,0,True,False
"재밋네여\ㅛ
",182959752,1012,1734444204,0,0,True,False
즐겁게 잘했습니다.,182956599,23382,1734440857,0,0,True,False
혼자 할때 재밋음,182953765,954,1734437518,0,0,True,False
빌드 짜는거 개재밌음,182951439,3984,1734434335,0,0,True,False
꿀잼임,182947832,2179,1734429018,0,0,True,False
"컨셉부터가 용사들에게 맨날 죽는 쪼랩 스켈레톤의 성장기 로그라이크 요소와 잘 어울리고
원하는 조합이 안나오면 힘을 못쓰는 단점도 있는 게임이라 생각하는 부분도 있지만 
확실한건 캐쥬얼하게 재미있어서 추천하는 게임임",182862821,6440,1734313652,0,0,True,False
"중독성 오짐
",182859164,4074,1734308942,0,0,True,False
구울존나사기다,182843910,8402,1734293167,0,0,True,False
대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고 대가리 던지고 줍고,182828074,6348,1734280057,1,1,True,False
:},182821363,1679,1734274673,0,0,True,False
마녀가 제 취향이에요,182802342,4739,1734257475,0,0,True,False
손가락 아픔,182742732,2596,1734195203,0,0,True,False
게임은 여러가지 해골들을 사용하며 수집하고 조합을 맞춰보는 재미를 느낄수있고 타격감도 좋습니다. 머리를 바꿔서 능력을 바꾼다는 점이 흥미로우며 메인 보스들도 적절한 난이도를 가진것같습니다. 그런데.. 도적 이 시발새끼는 걍 때릴수있는 시간도 적고 피통도 처많아서 걍 혐 그자체입니다. 이새끼가 왠만한 메인보스들보다 잣같습니다 .걍 만나면 혐오스럽습니다  물론 게임은 재밌어서 많이 할것같습니다.,182727492,831,1734183464,0,0,True,False
그저 한마디면 충분하다 존나재미있다.,182714523,425,1734171029,0,0,True,False
갓겜 돈이 아깝지 않아요 인생에서 한번쯤은 해볼만한 게임 강추 굿,182713131,8972,1734169486,0,0,True,False
SDF,182687157,11610,1734138679,0,0,True,False
갓 겜,182654966,1242,1734107051,0,0,True,False
"온라인 좀 내줘요
",182639136,22914,1734092964,0,0,True,False
진심 인생겜 입니다ㅠ,182634836,3825,1734088266,0,0,True,False
"good
",182559548,2374,1733998956,0,0,True,False
시간 죽이기 좋음.할인한 사야함,182509204,3522,1733938832,0,0,True,False
굿,182503560,6758,1733933560,0,0,True,False
처음 초대 용사 잡을떄 까지는 재미있었는데 검은 거울까지 가니 개인적으로 흥미가 떨어짐 평이 좋아서 사봤는데 역시 로그라이크는 별로 안맞는듯,182489692,1113,1733919731,0,0,True,False
rnt,182489346,3885,1733919353,0,0,True,False
"재미있다ㅏㅏㅏㅏㅏ
",182484256,3600,1733912078,0,0,True,False
"그냥 재밌네요 성장식이라 산나비 하고 오신분들이라면 더 추천 드립니다

",182433730,2236,1733853653,0,0,True,False
야무짐ㅇㅇ,182432381,3731,1733852494,0,0,True,False
걍 바로 시작하세요,182393623,2925,1733810735,0,0,True,False
"아주굿
",182326846,1527,1733737228,0,0,True,False
"도트 그래픽 + 로그라이크 진짜 잘만든 겜이라고 생각함

정식출시전부터 해봤는데 업데이트도 되게 많아졌고 복잡해졌는데 그만큼 재미는 더 많아진듯",182314464,5830,1733718657,2,0,True,False
good,182184693,1671,1733604500,0,0,True,False
잼믰다,182133161,3522,1733570004,0,0,True,True
미친 타격감,182119367,1951,1733557134,0,0,True,False
푸바우\,182074411,13055,1733518899,0,0,True,False
"어디서부터 짚고 넘어가야하나 
일단 무한으로 조리돌림하는 고정맵
그리고 그냥 존나 말아처먹은 개 좆같은 판정 
각 스테이지에 존재하는 오브젝트, 몬스터 보스들의 공격패턴이 너무 괴랄하다 못해 지랄날 판
몬스터는 탄막이 지형 다 관통되는데 플레이어는 왜 불가능함?
할거면 균형있게 만들어내던가 
보스전 이전에 개 쳐맞고 딸피인채로 회복수단도 없어 그런다고 맵 클리어가 쉬운것도 아니고 그냥 회복을 해주는시스템이 있는것도 아니고 어느 게임이 보스전하기전에 그냥 쳐 맞은 채로 하겠냐고 ㅅㅂ
게다가 보스 중에 닌자만 유독 다른 보스에 비해 난이도가 제작자 엄마 찾고 싶게하는 난이도 
닌자 공격 패턴이며 회피판정, 회복 등등 여러가지 변수가 있음에도 그냥 데미지 한방한방이 유저가 10몇대를 때린것과 같음
4스테이지 보스로 닌자가 나오면 본인 스컬, 아이템 등등이 존나 좋아도 그냥 하기 싫어짐 
이미 스테이지를 거쳐오면서 어떤 미친 능력치를 갖고있는지를 아니까 
심지어 주변 지인이 게임을 12월 1일에 구매 후 시작, 약 22시간동안 플레이하면서 보스 몹 하나 때문에 
별 욕이란 욕은 다하면서 게임을 한다고 했다

그냥 제작자가 로그라이크를 안하고 만들고 직접 게임을 안해본게 분명하다
개임성만 보면 존나 신박한 게임임에도 불구하고 몇판만 플레이하면 온갖 쌍욕을 박으며 끄는 본인을 마주할 일이다

게임 자체가 이미 존나 글러먹은 갱생 불가능한 무언가가 되버리고만거같다
마석거울은 존나 말도안되는 체,공 뻥튀기에 몬스터는 무더기로 나오고 
그 와중에 잡몹 하나는 보스급으로 바꿔서 쳐 나오질 않나 
스컬 확률은 개말아쳐먹어서 안 나올때는 2스테이지 넘어갈떄까지 안나오고 
그런다고 스컬 강화에 쓰이는 뼛가루의 수가 적나 그것도 아니고 
10개 30개 까진 이해하는데 거기서 100개로 뻥튀기 되는건 뭔데 
100개 모을려면 적어도 3스테이지 중후반은 가야 100개가 모일까 말까인데 
제작자가 진짜 게임을 해봤는지 이런 종류의 게임을 해본적은 있는지 
그 사이에 유저가 원하는게 뭔지 업데이트를 할때 유저의견은 보고 들어는 봤는지 
이미 돈 빨아먹을대로 빨아먹은 게임이니까 버린다 라는 마인드가 박힌채 만든게 맞는거같다

""정말 궁금하다. 이 게임에 관심은 있는지, 업데이트는 할 예정이 있는지""

응원한다 제작자의 존망을
그리고 게임 이딴식으로 만들고 운영할거면 쳐 만들지마라 존나 역겹다 그냥 
씨발련",182040601,8682,1733495451,4,1,True,False
"너무 재밌게 플레이 했습니다.
또한 여러가지 구상에 맞춰 엔딩을 보고 싶기에, 더 플레이 할 것입니다.

한가지 바라는 점이 있습니다.
친구와 함께 클리어 하는 협동모드가 나왔으면 좋겠습니다.

 애프터케어도 좋은 편이며 테스트하던 그 때와 달리, 볼륨이 아주 알찬 그런 게임입니다.",182028413,4919,1733483761,5,0,True,False
"해골들이 다 매력적이고 적투방식도 재미있음!
",182023344,6187,1733477673,0,0,True,False
"그냥 재미있음
",182019456,2747,1733472715,0,0,True,False
하자,181966727,8001,1733416821,0,0,True,False
네오위즈는 한국 인디게임계의 희망이다,181955155,13599,1733407108,0,0,True,False
플탐 100시간은 거뜬한 갓겜,181922874,6942,1733364166,0,0,True,False
갓겜,181880909,11943,1733331066,0,0,True,False
ㄴㅇㅅ,181682794,597,1733239084,0,0,True,False
재밌음 근데 검은거울 정신나감,181615275,9544,1733198860,0,0,True,False
처음에는 너무 어려워서 포기할까 하다가 하다보니 익숙해져서 재미있음,181615104,1194,1733198738,0,0,True,False
굳,181489127,1444,1733137783,0,0,True,False
마녀가 맛있고! 게임이 재밌어요!,181366042,1481,1733077068,0,0,True,False
어려워도 재밌음,181238907,756,1733031919,0,0,True,False
군침이 싹도노 (:,181187909,4381,1733009624,0,0,True,False
영웅을 계승중입니다 아버지 편히 눈을 감으시지요,181066173,1139,1732977579,0,0,True,False
재밌음,181057985,2142,1732975448,0,0,True,False
"정말 재밌습니다.
매번 다른 컨셉으로 진행할 수 있어서 조합을 맞추는 재미가 있네요.
운빨 요소가 있지만 그게 재미니깐",181054198,9856,1732974427,0,0,True,False
"현재 내가 보유한 스팀 게임 중 1위. 한국 인디게임이라는 거에 놀라고, 대학생 동아리에서 시작하여 펀딩으로 런칭한 게임이라는 것에 두번 놀람. 최고!",181036678,5601,1732969573,0,0,True,False
좋음,181022160,3171,1732965202,0,0,True,False
"스토리도 좋고 조작감이나 타격감은 말할것도 없는듯, 캐릭터 디자인도 다 잘뽑혔고 내가 해본 인디게임중에선 최고였음",180994005,2937,1732957141,0,0,True,False
"아이작보다 재밌음

",180946377,5542,1732938074,0,0,True,False
그냥 존나 말이필요없다 킬링타임 개쩌는 해골대가리,180767131,1106,1732886454,0,0,True,False
b,180485005,7874,1732808996,0,0,True,False
좃.다,180300720,860,1732780032,0,0,True,False
ㄱ어렵네,179914865,6176,1732724012,0,0,True,False
어려워서오레할수있음,179907064,3054,1732714622,0,0,True,False
짧게 즐기기 좋음 ㅇㅇ,179849869,5162,1732629889,0,0,True,False
와 진짜 너무 짜증나는 게임 컨트롤 ㅈ망겜인데 ㅈㄴ 재밌어서 멈출수가 없다,179842391,1573,1732618538,0,0,True,False
"이게임 스테이지 끝날때마다 저장가능한데 저장하고 바탕화면나가기 했다가
다이렉트12 오류 뜨더니 스팀게임이 실행이 안됨 절대 저장기능 하지마셈",179782915,2334,1732533074,0,0,True,False
뼈그닥,179729013,59,1732461005,0,0,True,False
어려운데 재밌어요,179727747,962,1732459824,0,0,True,False
스컬 갓겜,179713080,11022,1732444925,0,0,True,False
.,179663538,18325,1732385709,0,0,True,False
"시간죽이기 좋은게임
",179647094,4681,1732371331,0,0,True,False
최현석한테 만원 뜯은 게임,179641000,3211,1732365465,0,0,True,False
츄라이츄라이,179634131,7994,1732358099,0,0,True,False
나랑 스껄하러 갈래?,179629617,2146,1732352502,0,0,True,False
