rating,username,content
4.7,경빈아,"맛,서비스,분위기 모든것이 완벽하며 데이트,여행목적으로 가기 좋습니다! 첫 오마카세 였는데 너무 행복했고 좋았습니다"
5.0,태권브이갱,결혼기념일로 방문한 스시코우지 맛도 분위기도 서비스도 최고였습니다!!!!!한달에 한번씩 오고싶네요~코요미씀
4.3,루이왕자,"스시오마카세 추천한다면 바로 떠올릴 ‘스시코우지’
식당가면 재료나 음식 설명 듣는 것을 좋아하는 편인데 눈치채신건지 하나하나 정성스럽세 설명해주셔서 귀도 입도 즐거웠습니다. 특히 금태가 정말 잊을 수 없는 맛이어서 배가 불러도 금태만큼은 너무너무 다시 먹고 싶었습니다.
참치뱃살도 느끼한 것이 앵콜스시로 먹을 때도 여전히 동일한 맛이었습니다. 디저트로 나온 쑥 아이스크림은 찐해서 안남기고 다 먹었습니다.
다음엔 코우지셰프님께도 대접받아보고 싶네요 :)
잘먹었습니다"
4.5,Woodal,"음식이 신선하고 너무 깔끔하고 맛있었어요!
마지막 디저트까지 너무 맛있는~또 가고 싶은곳. 쉐프님의 쇼맨쉽도 한몫!"
5.0,예리한 마스터_30264,아무생각없이 갔는데 너무 맛도있고!쉐프님 아주 대단한 쇼맨쉽까지!아주!꼭 한번가보십시요!연인끼리든 누구와든 아주 즐겁고 맛있는 식사가될겁니다.그리고 추천해주신 사케!쥰마이급인데 너무 맛있었답니다
5.0,학짱구,"셰프님의 입담서비스
음식의 질, 맛, 서비스 다 완벽했습니다
식사 내내 보는 재미 먹는 재미 다 느꼈습니다
가족들과 좋은 시간 보낼 수 있었어요
감사합니다!"
5.0,경쾌한 식객_76160,다너무맛잇엇어요 첫오마카세 다음엔 가족모시고오고싶네요
5.0,행복한 미식가_4213,"이슬기 쉐프님께 받았습니다!

제가 초밥을 좋아해서 오마카세 먹으러 자주 다니는데요. 이렇게까지 잘해주시는 쉐프님은 처음 만났어요. 오마카세는 왠지 정적인 분위기에서 별 대화 없이 스시만 열심히 집어먹는 느낌이었는데 이슬기 쉐프님은 정확히 이 스시가 어떤 것이고 어떤 식으로 만들었고 원산지도 알려 주시고 그 외에 가벼운 얘기도 많이 해 주셔서 마음 편하게, 즐기면서 먹고 왔습니다!! 실력은 두 말 하면 입 아픈 정도... 진짜 너무너무 만족스러워서 앞으로도 스시 땡기면 여기 이슬기 쉐프님께 가서 먹으려구요. 다른분들도 꼭 이슬기 쉐프님께 받아보시길 적극 추천합니다. 기념일 때 가시면 쉐프님이 축하도 해주십니다! 기념일에 즐거운 시간 갖고 싶으시다면 꼭 스시 코우지에서 이슬기 쉐프님 오마카세 드세요 ㅎㅎ"
5.0,박제남,즐겁게 잘 먹었습니다
5.0,진보ㅎ,"안녕하세요 미식을 즐길 수 있음과 동시에 족집게처럼 저를 챙겨주셔서 감사했습니다.
도화새우도 처음 접했는데 런치에 포함되어 있는게 소중했고, 식감과 맛도 달달하고 훌륭했습니다.. ! 이날 가장 맛있었던 거 같습니다 !ㅎ
강원도 고성우니.. 국내산인데 시원하게 사르르 녹아 신선하니 너무 맛있었고 금태.. 한개 더 얹어주셔서 눈물나게 감사히 먹었습니다 ㅠ
보리멸도 굉장히 깔끔했던 거 같아요 ! 그렇게 두툼한 청어는 처음 먹어봤습니다 ㅎㅎ 마리당 잔가시 200개는 너무 고생이지만 맛은 최고네요 ㅎㅎ
신선한 재료와 스시간이 너무 취향에 맞아서 한점한점 맛있게 먹었습니다. 스시에 들어있는 와사비가 맛있었던 거 같아요.
올해 먹었던 스시 오마카세중에 가장 훌륭했고, 스시 생각날 때 가장 먼저 떠오르는 집이될 거 같습니다.
혼자 방문했는데 장인정신으로 챙겨주셔서 감사합니다. 😊😊
또 방문할게요 !!"
5.0,ing~,너어무 유쾌하신 코우지 쉐프님 덕에 아주 행복하고 즐거운 시간이였습니다 :) 다음에도 또 소중한 사람과 함께 방문할게요🥰
5.0,성공한 셀럽_66397,"크리스마스 이브에 남자친구랑 방문했어요! 스시 코우지.. 왜 유명한지를 알겠더라구요
셰프님께서 내어주시는 모든 음식은 한 입 한 입 정말 빠짐없이 행복할 정도로 맛있었고, 직원분들의 세심한 서비스도 2024년 연말을 행복하고 따뜻하게, 즐거운 기억 안고 마무리하기에 부족함이 없었습니다. 크리스마스를 기념해 센스있게 빨간색, 초록색 와인잔을 내어주신 것도 너무 감동적이었어요! 셰프님의 여유와 센스로 잊지 못할 즐거운 시간 보내고 갑니다! 기쁜 날에 꼭 또 방문할게요. 감사합니다♡"
5.0,밝은 셀럽_19131,"아들이 꼭 가보고 싶다던 바로 그 곳~
스시를 아주 좋아하진 않지만 한글날 생일인 아들을 위해 생일 선물로 함께 다녀왔습니다.
그런데 정말 맛이 다르네요~
맛도 최고~
서비스도 최고~
모든 직원분들 친절도도 최고인 스시코우지입니다.
다음에 부모님 모시고 다시 한번 들릴 예정입니다.
맛있게 잘~먹고 갑니다.^^"
5.0,벽으로돌진,"예전부터 가고 싶었던 코우시 셰프님의 스시 코우지를 다녀왔습니다.
일단 진짜 맛있습니다. 정말 다양한 코스가 나왔지만 하나같이 너무 맛있었고, 인당 30만원이였습니다만 그 가격이 아깝지 않은 코스
구성이였습니다.
셰프님도 분위기 좋게 이끌어가고 즐겁게 즐기다 온 것 같습니다.
기념일이라고 말씀드리니 케익도 서비스로 준비해주셨습니다.
제가 한번도 5점을 드린 적이 없는데, 5점 드리겠습니다.
재방문할게요"
5.0,상봉동야생마,"12:00 런치 방문했습니다.

접객 서비스 정말정말 좋고 음식들도 대체로 깔끔하고 군더더기없이, 단점없는 맛을 보여줬다고 생각합니다.

개인적으로 전갱이 류 초밥을 즐기는데, 일단 원물 상태도 좋았던 것 같고, 초대리 간과 시소/생강등의 배합이 준수하여서 맛의 단계가 층층이 잘 쌓인듯한 느낌을 받았습니다.

다음에는 디너로도 방문해서 음식요리들도 조금 더 경험해보면 더 좋을 것 같다고 생각했습니다."
5.0,태권브이갱,새번째 방문한 스시코우지는 역대급 샤리와 함께하는 멋진 생일파티가 되었습니다.생일선물로 준비한 저녁식사는 생일주인공이 너무 좋아해서 저까지 덩달아 행복한 저녁이었습니다!! 지란지교 no.3 는 기쁨을 두배 더 업 시켜줬습니다^^ 다음 생일자는 누군지 찾아야 하는 명분이 생겼습니당!!!!행복한 시간을 만들어준 코우지 셰프님 너무 감사드립니다!!!!!
5.0,삐약06,"방문하여보니 담당셰프님이 운좋게 코우지 셰프님이시더라구요! 처음 뵈었는데 말씀도 너무 재미있게 하시고 음식 흐름도 끊김도 전혀 없이 빠르지도 느리지도 않게 조절도 잘해주시고 스시는 말할것도 없이 너무 훌륭했습니다!! 런치였지만 마치 디너 코스처럼 가짓수도 20가지정도 되는것같았어요 너무 훌륭한 식사였습니다♡♡
코우지 셰프님 최고>_<"
5.0,경쾌한 개척가_40915,"최고의 스시 최고의 서비스 스시코우지~
하나부터 열끝까지 섬세하게 챙겨주신 코우지셰프님
감사합니다~재방문의사200프로입니다~^^
유머감각까지있으시고 임산부인데 잘챙겨주셔서 감사합니다~"
5.0,쓰니잉,"코우지 셒프님 ! 원래도 유명해서 알고있었지만 , 너무 기대를 하구 갔는데 너무너무 기대 이상이였습니다!! 비린맛 하나 없고 런치인데도 불구하고 너무 배부르게 먹었습니다 ! 배부르게 먹을수있게 자꾸 얼마나 배찻냐 물어보시면서 밥알체크해주시고 너무 섬세하세요!! 음식하나하나 정성과 체고입니다 다음에 또 방문할게요 ^^"
5.0,오리니다옹1129,"광어 사진만 한 장 못 찍었는데 모든 음식이 하나하나 식감이 만족스럽고 비린 맛 없이 깔끔했습니다. 히비키 하이볼 메뉴판에는 없고 따로 말씀드리면 가져다 주시는데 런치에 페어링으로 강추해요! 정용관 셰프님께서 진행해주셨고 나긋한 목소리로 엠지세대 용어를 중간중간 활용하시는 게 재밌었습니다ㅋㅋㅋㅋ다음엔 디너로 재방문 해볼 것 같아요
저는 숙성회랑 등 푸른 생선계열 너무 좋아해서 잘 먹었어요. 원래 코우지는 런치에 앵콜 스시 거의 없던데 1시타임 가니까 런치2부라 시간적 여유가 있어서 원하는 것 있으면 주시겠다고 하셨네요. 제가 되게 잘 먹고 리액션 좋아서 그런지 저희 팀에만 물어봐주셔서 괜히 대우받는 기분이 들고 그랬어요..ㅎㅎ아무튼 즐거운 식사였습니다

+디저트로 쑥 아이스크림 주시는데, 정말 찐~한 쑥맛 느껴지는 아이스크림이에요. 흑당 시럽 뿌려주시는 것도 오키나와에서 직구하신 흑당을 직접 녹여 만드신 거라고하니까 쑥 잘 못드시는 분들도 이 디저트만큼은 흔한 쑥 아이스크림이 아니니 꼭 한 번 맛보셨으면 좋겠어요"
5.0,rame_nyo,"이슬기 쉐프님 입담도 손맛도 굉장히 좋으십니다!
런치 사시미코스에 18만원이고 취향 맞춰주시려 엄청 챙겨주십니다~
배가 터질것 같아서 추가는 못먹었습니다.
사진에 올린것의 1.5배는 더 나옵니다ㅋ
스시를 사랑하시는게 아주 잘 느껴졌고 몸도 마음도 즐거운 시간이었습니다🙏🏻"
5.0,따뜻한 개척가_47900,"유쾌하신 코우지 셰프님! 음식 맛도 훌륭하고 즐거운 분위기 속에서 너무 좋은 시간이었습니다!
많이 배부르네요^^"
5.0,태권브이갱,"두번째 방문한 스시코우지는 더 완벽했다.
아는맛이라 더 기대되고 맛있고 거기에 새로운 맛을 더해주는 지란지교 조합은 상상초월 생각한것보다 더 맛있고 조합이 너무 좋았던 오늘의 식사는 평생 잊을수없을것같다.
단점-배가찢어지도록먹고나온다
(위를 늘리고 가세요)"
5.0,이찬잉,"런치코스치고 양도 많은것같고 평소에 우니가 비려서 잘못먹는 편인데 여기 우니는 하나도 안비리고 엄청 맛있네요
그만큼 생선들의 선도는 굉장히 좋은편인것 같습니다.
전체적으로 상큼한 향이 많이나는 편이라 시트러스 계열 좋아하신다면 만족도가 상당하실듯"
5.0,Tear88,"코우지 쉐프님의 입담과 함께 너무나도 즐겁고 맛있는 식사였습니다. 다양한 음식의 밸런스와 맛 그리고 직원분들의 섬세한 서비스도 너무나도 좋았고, 특히 샤리가 씹는맛과 재료와 어울러지는 간이 너무나도 좋았습니다. 너무 맛있었습니다!~"
5.0,하루가되길,하나하나 신경써주셔서 편하게 먹었습니다 감사합니다
4.7,활기찬 셀럽_42595,하이엔드 오마카세 첫 접견햇는데 진심 미쳣네요
5.0,청수니,"남자친구 생일겸 하이엔드 스시오마카세로
유명한 스시코우지 첫 방문했어요.
코우지셰프님이 접객해주셧고.
즐겁고 맛있게 잘 식사하고 왔어요!
이번엔디너로 방문했었는데
런치로도 꼭 이용해보고싶어요!"
5.0,유후까꿍,"두말하면 입아프죠!! 그냥 최고예요👍🏻
기념일이라고 직접 만든 케잌에 초는 감동이었어요😍❤️
너무너무 감사해요, 또 방문 할께요🫶🏻"
5.0,비다 알레그레,코우지상 사단의 맛난 음식들과 유머러스한 접객. 거의 두시간이 넘어가는 식사였음에도. 너무. 즐거운 시간이었습니다. 어머님 동생과 너무 즐거운 시간 보내고 왔네요. 감사합니다. 다음달에 또 뵐께요 ^^
5.0,lotus_jin,"기념일을 특별하게 보내고 싶어 방문하였어요 ☺️
디너 코스 구성 하나하나 재료 본연의 향이 진하고 감격스러운 맛이었습니다. 😂
사진도 찍어주시고, 기념일 케이크까지 챙겨주셔서 감사해요🩷 다음에 또 방문하겠습니다"
5.0,뽀송뽀롱맘,"오마카세라고 분위기 잡고 딱딱하기보다 유쾌하고 즐겁고 정말 식사시간이 행복했다 라고 표현하고 싶은 이곳, 작은셰프님 귀여움은 말해뭐해 코우지상과 케미 장난아니었고 맛은 바닷속에서 인어공주가 된것 같았다 ❤️"
5.0,성공한 개척가_72973,무슨 말이 필요하겠습니까. 정용관 셰프님의 완벽한 디너 오마카세. 모든 면에서 최고입니다.
5.0,장석하,"훨씬 다양한 스시가 나왔지만 일부만 사진을 올립니다. 좋은 경험이었습니다. 네타의 특징을 샤리가 잘 보조해서 하나의 어우러진 맛을 냅니다. 네타의 특성을 해석해 내는 타이쇼(코우지는 뭐라 부르는 지를 몰라)의 능력에 감탄했습니다. 음식은 요리사의 인격이 드러난다고 합니다. 스시 한관 한관마다 조금씩 다른 타이쇼의 인간미를 느낄 수 있었습니다. 또 타이쇼의 퍼포먼스가 스시의 맛을 생동감 있게 바꾸어 줍니다. 이런 에도마에는 코우지가 아니면 좀처럼 즐기기 어렵습니다. 물론 대단히 한국화되어 부드러운 퍼포먼스이지만, 에돗코 퍼포먼스를 조금은 느낄 수 있었습니다. 재료의 맛 해석해서 이끌어 내는 것이 요리사의 능력이고, 분위기를 휘어 잡는 것이 스시장인의 능력이라면, 코우지는 단연 가봐야 할 곳입니다."
5.0,윤진석1,"재료 하나하나 최상급
너무 맛있게 잘먹었습니다
샤리가 입에서 춤을춥니다"
5.0,bean22,항상 유튜브로만 보다가 처음 방문했는데 퍼포먼스도 좋았고 맛있었어요
5.0,비비07,"핵 존 맛!
8년동안 다녔는데!! 현재가 최고입니다"
5.0,쾌활한 식도락가_59841,친절하시고 무드 있고 최고 최고 정말 디너같은 런치
5.0,독 고,항상 편안하고 유쾌하게 식사할수 있어서 좋습니다
5.0,gooson,유머를 곁들인 맛있는 스시와 친절한 서비스 🍣
5.0,위트있는 셀럽_91366,너무 잘 먹었습니다!!!
5.0,하나두리세찌버찌,"재료 설명도 잘해주셨고 음식도 너무너무 맛있었고 코우지님도 너무 즐겁게 해주셔서 눈,귀,입 모두가 즐거웠습니다"
5.0,p95,"정용관 셰프님 정말 맛있게 먹었습니다ㅎㅎ
아까미 전어 시마아지 맛있네요 ㅎㅎ"
5.0,돼지라서 햄볶,접객부터 음식까지 모든게 완벽했어요. 행복한 시간 보냈습니다. 😊
5.0,박성원 SungWon,진짜 이세상에서 제일 맛있어요 돈이 아깝지 않은 맛이에요♥️
5.0,dlrjsgh11,그냥 역대급 오마카세 말필요없이 강추합니다
5.0,맛킹,독창적인 변주보다 품격있는 정통.
4.3,유유비니,"셰프님 너무 유쾌하셔서 즐거웠어여
특히 스시와 재료에 대해 자세하게 설명해 주셔서
좋았는데
며느리도 몰라야하는 스시가 만들어지는 비법을
듣고 있자면 나도 스시를 만들수 있을것
같다는 착각에 빠지게됨 ㅋㅋ

12월 메뉴는 좀 고급 재료를 사용한 코스로 운영한다고
했는데 우니 시라꼬 이꾸라가 특히 인상적이었음

개인적으로는 흰살생선보다는 히카리모노가 맛있었고
교꾸와 디저트 맛있었어용"
5.0,메르시아롬,최고입니다 👍
5.0,수니니,남자친구가 제 생일 기념으로 스시 오마카세 예약해줘서 스시코우지 다녀왔는데요!! 스시오마카세 많이는 아니지만 몇군데 가본 사람으로써 진짜.. 스시코우지가 제일 맛있고 서비스도 체고..!!!!!! 코우지 쉐프님이 해주실 줄은 꿈에도 몰랐는데 저희가 운이 좋았는지 자리도 제일 좋은 자리에 코우지님이랑 대화도 해보고 편안한 분위기에 처음부터 끝까지 웃음이 끊이지 않았어요!! 런치도 가격이 있는 편이긴 하지만 기념일 또는 생일에 가기 적극 추천드려요!!!!! 다음에 가족이랑 가보고 싶네요:)
5.0,냠냠박사님,"장점이 많은 식당입니다.

1. 제가 요리 전문가가 아니기 때문에 셰프님의 실력을 감히 평가할 수는 없지만, 음식이 일반인인 제가 먹기에 모든 면에서 조화롭고 적절하고 적당했다라고 말할 수는 있을 것 같습니다. 맛있었습니다.
2. 직원분들의 서비스가 훌륭했습니다. 말투, 음성의 크기, 미소, 태도 등 모든것이 과하지 않고 부족하지도 않은 아주 모범적인 서비스를 받고 왔습니다.
3. 셰프님의 접객 스킬이 대단하신 것 같습니다. 정중하고 따뜻한 매너였습니다. 모든 손님들을 한분도 빠뜨리지 않고 챙기시는 모습이 과연 프로다운 모습이었습니다.
4. 제 배우자가 평소 가고 싶었던 식당이었고 마침 제가 휴가라서 별다른 특별한 기념일은 아니었지만 갑자기 예약하고 방문하게 되었습니다. 그런데 직원분들과 셰프님의 손님응대 스킬이 기분을 좋아지게 만들어서 저희 부부에게 기념일이 되버린 느낌입니다. 겨울생선이 또 한창일때 저녁에 다시 한번 들르겠습니다."
4.7,유미밍,"유명한 만큼, 가격대가 있는 만큼 당연히 맛 있었습니다. 특히 오늘 마지막으로 주신 청어가 가장 기억에 남았습니다 (받자마자 먹어서 사진이 없음). 기름진 생선을 두툼하게 내어 주시니 입안이 꽉 차는 느낌이 아주 좋았습니다. 시소와 레몬즙으로 느끼함을 중화시켜 밸런스도 좋았구요.
다만 중간에 관자+우니 생크림 소스는 약간 갸우뚱한 맛이었습니다. 그냥 먹어도 맛있는 재료들인데.. 싶었네요.ㅎㅎ
그리고 익힌 금태도 나오고 임연수 구이도 나오는데, 둘 중 하나를 빼고 날 생선을 하나 넣었으면 더 좋았을 것 같습니다."
5.0,준필,"여자친구 생일 기념 방문했는데 코우지 쉐프님이 너무 즐거운 분위기에서 식사할 수 있게 해주셨고 어느 한 피스 놓칠수 없이 맛있고 인상깊은 맛이었어요!
그리고 하이엔드 오마카세에서 양까지 채울 수 있어서 너무나도 만족합니다!!"
5.0,미뇽이로,아빠 생신이라서 온가족이 다같이 다녀왔어요! 항상 이야기도 재밌게 해주시고 음식도 맛있게 해주시는 셰프님 덕분에 너무 행복하고 즐거운 시간이었습니다! 더 먹고싶은거 필요한 거 없냐고 수시로 체크해주셔서 정말 대접 받는 느낌이었다구 부모님께서도 너무 좋아하시더라구용 ㅎㅎ 음식이야 더할나위 없이 너무 맛있고 만족스러웠습니다! 마지막엔 아빠 생신이시라고 케이크에 촛불 켜주셔서 엄청난 감동..8ㅅ8
5.0,월급받는도비,"생일 기념으로 전날 다녀왔어요!
정쉐프님 테이블이었고 소소한 대화와 재료에 대한 설명, 그리고 맛있게 먹는 방법 알려주시고 목 끝까지 찰 정도로 엄청 많이 나와서 행복했습니다 🥰 사진이 빠졌는데 귀여운 생일초도 같이 주셨고요! 자주보지말고(?) 다음번 계절에 보자고 하셨으니 봄 되면 또 방문하겠습니다 😚"
5.0,황가의전설,"진짜 하나같이 다 맛있어서 놀랐습니다
나름 미식을 추구하는데 가격이 쉽지않고 지방에 살어서 거리도 쉽지 않습니다
이제는 아무리 못해도 계절별로 한번씩은 와야겠다 생각하고 있습니다 너무 잘 먹었습니다

몸이 좀 튼실해서 그런지 정용관 쉐프님께서 앵콜 계속 주셔서 넘 감사했습니다... 비싼거 앵콜해도 오히려 더 드릴까 물어보셔서 놀랐습니다 배가 터지게 먹었습니다

모든게 좋았던 한끼였습니다"
5.0,Theo Kang,"명불허전이란 말이 가장 잘 어울리는 곳이 아닐까 확신한다!
원물 자체와 맛의 퀄리티는 물론이고, 박지환 셰프님의 유머러스하고 유쾌 상쾌한 접객으로 기분이 한껏 고조될 수 있었다.
굳이 단점을 찾자면.... 양이 너무 많아 배가 폭발할 것 같다는 것이다 ㅎㅎㅎ (정말 많이 주시니 참고할 것!)"
5.0,노닉네임018,"두번째방문인데 저번엔 디너로 왔고 이번 런치는 백만프로 만족입니다
런치는 정말 훌륭 예술이얏 감동했어요
오마카세 많이다니는데 런치 디너 통틀어서 오늘이 쵝오"
5.0,sukk ee,"너무나도 즐거운 식사

들어가자마자 맞이해주시는 친절한 서비스와 코우지 셰프님의 재치 있는 입담, 한점 한점 먹을때마다 밀려오는 감동적인 맛까지 너무 너무 즐거운 식사였습니다.

여자친구 생일이라고 예약 시 미리 말씀 드렸더니, 케이크까지 준비해주신 섬세함도 너무 감사 드립니다!"
5.0,kimguswls,인생 첫 오마카세 방문이었는데 너무 좋은 선택이었다고 생각합니다! 처음 방문이라 어색한 느낌이 있었는데 시간이 지날수록 셰프님이 말도 걸어주시고 해서 좀 편해졌습니다! 이슬기 셰프님께 많은걸 질문 드렸는데 너무 정성스레 답변도 해주시고 즐거운 시간이었습니다! 음식은 말해서 뭐할 정도로 너무 맛있었고 감탄만 나왔습니다. 다음엔 디너로 방문해보겠습니다~!!
5.0,똑똑한 미식가_95839,스시코우지 처음인데 왕맛있게 먹고 가요. 이슬기 셰프님 최고였습니당 ! 런치로 갔는데 디너인가 싶을 정도로 코스가 길어요.. 성인 남자도 충분히 배부르게 먹을 수 있습니다 ㅎㅎ 다 너무 맛있었고 접객도 좋아용 생맥이랑 사와도 맛있었어요! 재방문 이백프로!!!
5.0,잉요패밀리,"와이프 생일기념으로 처음 방문한 스시코우지. 재료의 퀄리티 신선도는 물론, 모든 음식의 맛 까지 완벽했습니다. 더하여 정 셰프님의 지루하지도 과하지도 않은 완벽한 입담과 소통으로 정말 즐거운 식사를 하고 왔네요(+뒷쪽에서 기본 찬, 티 등 기본적인 것 들 떨어질때마다 바로바로 리필 해주신 직원분들). 소중한 추억을 만들어 주셔서 감사합니다!"
